kalshi_series,polymarket_family,pairs,baskets,best_return_pct,example_a,example_b,url_a,url_b
KXMLS1HBTTS,mls-*-<date>,8,0,,Los Angeles G vs Colorado: First Half BTTS — 1st Half: Both Teams To Score,Los Angeles Galaxy vs. Colorado Rapids SC: Both Teams to Score in First Half,https://kalshi.com/markets/kxmls1hbtts/kxmls1hbtts-26sep26lagcol,https://polymarket.com/event/mls-lag-col-2026-09-26-more-markets/mls-lag-col-2026-09-26-btts-first-half
KXCHESSOLYMPIAD,46th-fide-chess-olympiad-open-tournament-winner,7,0,-0.45,46th FIDE Chess Olympiad Open Tournament Winner — India,Will India win the 46th FIDE Chess Olympiad Open Tournament?,https://kalshi.com/markets/kxchessolympiad/kxchessolympiad-26,https://polymarket.com/event/46th-fide-chess-olympiad-open-tournament-winner-20260716211453703/will-india-win-the-46th-fide-chess-olympiad-open-tournament-20260716210929670
KXBIGBROTHER,big-brother-season-28-winner,3,0,,Big Brother Season 28 · Winner — Drew Campbell,Will Drew Campbell win Big Brother season 28?,https://kalshi.com/markets/kxbigbrother/kxbigbrother-26dec31,https://polymarket.com/event/big-brother-season-28-winner-20260708173711844/will-drew-campbell-win-big-brother-season-28-20260708173711848
KXNCAAFUNDEFEATED,ncaa-football-team-to-have-an-undefeated-season,3,0,,College Football Undefeated Regular Season — Indiana,Will Indiana have an undefeated CFB regular season?,https://kalshi.com/markets/kxncaafundefeated/kxncaafundefeated-26,https://polymarket.com/event/ncaa-football-team-to-have-an-undefeated-season-20260804202438626/will-indiana-have-an-undefeated-cfb-regular-season-20260804202438631
KXBRASILEIROB1HBTTS,bra2-*-<date>,2,0,,Vila Nova vs Londrina: First Half BTTS — 1st Half: Both Teams To Score,Vila Nova FC vs. Londrina EC: Both Teams to Score in First Half,https://kalshi.com/markets/kxbrasileirob1hbtts/kxbrasileirob1hbtts-26sep25vinlon,https://polymarket.com/event/bra2-vln-lon-2026-09-25-more-markets/bra2-vln-lon-2026-09-25-btts-first-half
KXNETFLIXRANKSHOW,what-will-be-the-top-us-netflix-show-this-week,2,0,,Top US Netflix Show this week? — Monster: The Lizzie Borden Story: Season 1,"Will ""Monster: The Lizzie Borden Story: Season 1"" be the top US Netflix show this week?",https://kalshi.com/markets/kxnetflixrankshow/kxnetflixrankshow-26sep28,https://polymarket.com/event/what-will-be-the-top-us-netflix-show-this-week-20260929/will-monster-the-lizzie-borden-story-season-1-be-the-top-us-netflix-show-this-week-20260929
KXNWSLBTTS,nwsl-*-<date>,2,0,,Seattle Reign vs Boston Legacy FC: BTTS — Both Teams To Score,Seattle Reign FC vs. Boston Legacy FC: Both Teams to Score,https://kalshi.com/markets/kxnwslbtts/kxnwslbtts-26sep25reibos,https://polymarket.com/event/nwsl-rei-bos-2026-09-25-more-markets/nwsl-rei-bos-2026-09-25-btts
KXUSL1HBTTS,uslc-*-<date>,2,0,,El Paso Locomotive FC vs Tulsa: First Half BTTS — 1st Half: Both Teams To Score,El Paso Locomotive FC vs. FC Tulsa: Both Teams to Score in First Half,https://kalshi.com/markets/kxusl1hbtts/kxusl1hbtts-26sep25pastul,https://polymarket.com/event/uslc-pas-tul-2026-09-25-more-markets/uslc-pas-tul-2026-09-25-btts-first-half
KXCANPLBTTS,canpl-*-<date>,1,0,,Cavalry vs FC Supra Du Quebec: BTTS — Both Teams To Score,Cavalry FC vs. FC Supra Du Quebec: Both Teams to Score,https://kalshi.com/markets/kxcanplbtts/kxcanplbtts-26sep25cavsup,https://polymarket.com/event/canpl-cav-sup-2026-09-25-more-markets/canpl-cav-sup-2026-09-25-btts
KXESTPRES,next-president-of-estonia,1,0,,Next President of Estonia? — Ülle Madise,Will Ülle Madise be the next President of Estonia?,https://kalshi.com/markets/kxestpres/kxestpres-27jan01,https://polymarket.com/event/next-president-of-estonia-20260727225811942/will-ulle-madise-be-the-next-president-of-estonia-20260727225811944
KXNETFLIXRANKMOVIE,what-will-be-the-top-us-netflix-movie-this-week,1,0,,Top US Netflix Movie this week? — Top Gun: Maverick,"Will ""Top Gun: Maverick"" be the top US Netflix movie this week?",https://kalshi.com/markets/kxnetflixrankmovie/kxnetflixrankmovie-26sep28,https://polymarket.com/event/what-will-be-the-top-us-netflix-movie-this-week-20260929/will-top-gun-maverick-be-the-top-us-netflix-movie-this-week-20260929
KXNETFLIXRANKMOVIEGLOBAL,what-will-be-the-top-global-netflix-movie-this-week,1,0,,Top Global Netflix Movie this week? — Best of the Best,"Will ""Best of the Best"" be the top global Netflix movie this week?",https://kalshi.com/markets/kxnetflixrankmovieglobal/kxnetflixrankmovieglobal-26sep28,https://polymarket.com/event/what-will-be-the-top-global-netflix-movie-this-week-20260929/will-best-of-the-best-be-the-top-global-netflix-movie-this-week-20260929
KXNETFLIXRANKSHOWGLOBAL,what-will-be-the-top-global-netflix-show-this-week,1,0,,Top Global Netflix Show this week? — Monster: The Lizzie Borden Story: Season 1,"Will ""Monster: The Lizzie Borden Story: Season 1"" be the top global Netflix show this week?",https://kalshi.com/markets/kxnetflixrankshowglobal/kxnetflixrankshowglobal-26sep28,https://polymarket.com/event/what-will-be-the-top-global-netflix-show-this-week-20260929/will-monster-the-lizzie-borden-story-season-1-be-the-top-global-netflix-show-this-week-20260929
