best_bid,best_ask,best_bid_size,best_ask_size,depth_bid_at_1pp,depth_ask_at_1pp,max_buy_size_at_3pp_edge,platform,market_id,fetched_at,side,yes_market_id,max_no_buy_size_at_3pp_edge
0.058,0.064,36.08,10.0,738.57,1035.56,4860.66,polymarket,66799540193763442273153807390120946960260027428359861674134091731050086258652,2026-09-24T20:37:47.635850+00:00,yes,,
0.936,0.942,10.0,36.08,1035.56,738.57,1955.77,polymarket,24047710826989921604302853982918619576361902127755708458471439265448576446915,2026-09-24T20:37:47.791486+00:00,no,66799540193763442273153807390120946960260027428359861674134091731050086258652,
0.1,0.11,1488.0,469.64,4011.54,3642.05,29396.57,polymarket,18859933834391393264997730047904836599784455493762567366530805521273388590339,2026-09-24T20:37:48.073288+00:00,yes,,
0.89,0.9,469.64,1488.0,3642.05,4011.54,15338.0,polymarket,88124433300559247959309048268928728970816174095213461359357515260826164605193,2026-09-24T20:37:48.241478+00:00,no,18859933834391393264997730047904836599784455493762567366530805521273388590339,
0.022,0.044,232.33,80.8,351.33,1097.59,5925.5,polymarket,28222949582692352334110457056784683609708218641745397767642367585928375878193,2026-09-24T20:37:48.528025+00:00,yes,,
0.956,0.978,80.8,232.33,1097.59,351.33,1372.74,polymarket,3641056676837946671256477781020225557556713248985258428151086443592289606284,2026-09-24T20:37:48.720491+00:00,no,28222949582692352334110457056784683609708218641745397767642367585928375878193,
0.23,0.24,500.0,1155.0,10492.08,10485.37,39415.9,polymarket,45666577334498374671436529469006420565255125221309505855441517627481607414492,2026-09-24T20:37:48.985601+00:00,yes,,
0.76,0.77,1155.0,500.0,10485.37,10492.08,29672.0,polymarket,83106526449876874573813297184176954494008138834292248374570211745966785088569,2026-09-24T20:37:49.166503+00:00,no,45666577334498374671436529469006420565255125221309505855441517627481607414492,
0.45,0.46,1068.41,5793.69,2437.38,16886.77,26929.07,polymarket,17555504943162344098534978138053308162738914357892515623100381936995379845407,2026-09-24T20:37:49.428455+00:00,yes,,
0.54,0.55,5793.69,1068.41,16886.77,2437.38,5333.74,polymarket,53502088681539225888217182746120417070419934602682782293991096287838014660594,2026-09-24T20:37:49.592589+00:00,no,17555504943162344098534978138053308162738914357892515623100381936995379845407,
